series,rank_bin,rank_bin_order,tick_label,cz_count,population_share,average_exposure,exposure_index
China Shock,Top 10,1,Top 10,10,0.0036028117286760948,0.11712949443175491,577.0791144256525
China Shock,Next 40,2,Next 40,40,0.028535909405157298,0.06393383610112674,314.99223742120483
China Shock,Next 50,3,Next 50,50,0.04371042328942111,0.0420645193159656,207.24545660650543
China Shock,All Others,4,All Others,621,0.9241508555767455,0.014174284997195169,69.83453547273753
AI Exposure,Top 10,1,Top 10,10,0.13686334044234508,0.3790524551616502,117.00917354179975
AI Exposure,Next 40,2,Next 40,40,0.2203550359719208,0.3623203549000876,111.84416485615745
AI Exposure,Next 50,3,Next 50,50,0.20228643852501635,0.3500233997990978,108.04823494235745
AI Exposure,All Others,4,All Others,621,0.4404951850607178,0.31849308177479535,98.31518506154242
