czone,china_exposure
100,0.041307283925709676
200,0.05539941592072703
301,0.06509399659733317
302,0.017375103497257682
401,0.043397638473971684
402,0.0803980859847857
500,0.05323071682851362
601,0.07781149564960385
602,0.11473632627822783
700,0.02639381866842372
800,0.037460196875214666
900,0.02213356121848248
1001,0.03439677332559654
1002,0.08461644169752702
1100,0.10011244729773194
1201,0.02017767821819849
1202,0.0552582406008999
1203,0.028181054995504495
1204,0.06892555399737842
1301,0.048761154410259966
1302,0.027071686309836696
1400,0.041648714440685734
1500,0.017610771396115776
1600,0.04563155569127941
1701,0.03913056803410847
1702,0.029744732789588113
1800,0.036850021817513845
1900,0.01856149494063936
2000,0.007990009407882595
2100,0.03349755543847882
2200,0.055393005224521785
2300,0.04208703961322202
2400,0.017434777380037403
2500,0.0070344465854895386
2600,0.02913082217412799
2700,0.009591641529084094
2800,0.037299106563157325
2900,0.01626929112229014
3001,0.05751343566206746
3002,0.03406302546495225
3003,0.013002943694071067
3101,0.02613123210712331
3102,0.015881491114190904
3201,0.009998530794470994
3202,0.013781576585552902
3203,0.02122168332539065
3300,0.005299469489857787
3400,0.007376524577962673
3500,0.00950225951076461
3600,0.005161255814453095
3700,0.006023937525745027
3800,0.022350840331448157
3901,0.010698366921861935
3902,0.020877680468537774
4001,0.043489249051147816
4002,0.01660748410160906
4003,0.015314498628686168
4004,0.028651302760399844
4101,0.017010119024557735
4102,0.017908455431445924
4103,0.0188343649467253
4200,0.01803859907878077
4301,0.040760519178623555
4302,0.03199014993301197
4401,0.008768533315905103
4402,0.032800512349381084
4501,0.007438159717302106
4502,0.00023566287853560297
4601,0.08592134874450519
4602,0.0415429468543822
4701,0.03281173713621355
4702,0.04637537230926986
4800,0.016938244766752986
4901,0.03868846334324181
4902,0.03967935046141502
4903,0.11403929892579256
5000,0.10949503580189995
5100,0.10687861959899482
5201,0.12323439058683897
5202,0.018620166013688988
5300,0.037613281675679566
5401,0.026915789149970913
5402,0.031133531245912005
5500,0.05154898588905077
5600,0.02121364143871248
5700,0.04445795012027576
5800,0.07529498937644541
5900,0.04161307246014079
6000,0.04243974234863007
6100,0.040931256960718664
6200,0.03696327571411134
6301,0.07855593954456763
6302,0.04847043035892139
6401,0.022366600021975422
6402,0.07073919116769956
6501,0.021900657005624602
6502,0.08330227625946796
6600,0.032559763741423386
6700,0.014230066863604358
6800,0.00842718881702964
6900,0.009713798843347641
7000,0.014383451786550181
7100,0.015861391634314714
7200,0.0035132492642735297
7300,0.04072724429626237
7400,0.009457723697966507
7500,0.010102959779187303
7600,0.006814837911349583
7700,0.006094576380609951
7800,0.01202575500230818
7900,0.011567021782652898
8000,0.031110471510044185
8100,0.01761897240064328
8201,0.036527949100549906
8202,0.008604288629665259
8300,0.02739250586405431
8401,0.017874761141110418
8402,0.03523900274013858
8501,0.03935116304588515
8502,0.03579380586526293
8503,0.021936652438802204
8601,0.029497502142444176
8602,0.011397601252317828
8701,0.02131715939309231
8702,0.04053431762302262
8800,0.004930022002225254
8900,0.02008223350626495
9001,0.047713093530056705
9002,0.021234350732232343
9003,0.029912268758403915
9100,0.016308526020028805
9200,0.04054616408079359
9301,0.023212488665740636
9302,0.059707732717743545
9400,0.02527713219141703
9500,0.0408120654826728
9600,0.049677605942808886
9701,0.020793618586543022
9702,0.0430154480658973
9800,0.04218568039594783
9900,0.01154456882341498
10000,0.0052984027337594775
10101,0.025918285640040617
10102,0.034434547811742156
10200,0.01680553434162091
10301,0.04615712181438736
10302,0.0343759498302334
10400,0.058812798861840765
10501,0.03648399038327854
10502,0.06518875754358389
10600,0.052269570085268724
10700,0.010058200420505752
10801,0.025132764498056043
10802,0.026863841823526968
10900,0.007117793915849482
11001,0.013108039526908876
11002,0.04412883102552301
11101,0.014084973033457127
11102,0.030107466885405998
11201,0.0149086470599261
11202,0.0006867485685093655
11203,0.014993334175598894
11301,0.004887376012627756
11302,0.013740416149495109
11303,0.007484263355388876
11304,0.005096436802626421
11401,0.007243396105929584
11402,0.03437310572119534
11403,0.005282712956534041
11500,0.026483353084715056
11600,0.02644094275446966
11700,0.00488492072926959
11800,0.01183071797876556
11900,0.027916144399160035
12001,0.026865323135000896
12002,0.020525179956697226
12100,0.02445878490541538
12200,0.02297719975717779
12301,0.010584391449689812
12302,0.013916001757387164
12401,0.011057404786026424
12402,0.014447235960056627
12501,0.02811130805037271
12502,0.05189173723170337
12600,0.03511488988084066
12701,0.026235741268124523
12702,0.14560492851577123
12800,0.09073761221558341
12901,0.031176028470897676
12902,0.04106266562392827
12903,0.027770664283991442
13000,0.01954923488240956
13101,0.022980938791085107
13102,0.08346198337572419
13103,0.02595395349951879
13200,0.024230114434075273
13300,0.025386523727843592
13400,0.020630550750184273
13501,0.020697449255128782
13502,0.04388228873502453
13600,0.029885825107816726
13700,0.0491918582977765
13800,0.030987191380020315
13900,0.031088089310903788
14000,0.019499119516186873
14100,0.032281812366102725
14200,0.014772848237864199
14300,0.027523395259636374
14400,0.02389035380059984
14500,0.019003809780142572
14600,0.040631919019330845
14700,0.02910294254207087
14801,0.11300913108370869
14802,0.014148292280995678
14900,0.01594891910428204
15000,0.032354306243110684
15100,0.02543631352583292
15200,0.026904940554011957
15300,0.018543612966944345
15400,0.03630795428565908
15500,0.021613908557378325
15600,0.010025823736517878
15700,0.007766707277108598
15800,0.011756690407945136
15900,0.015886123890086368
16000,0.025035522531521283
16100,0.021836816628206475
16200,0.02208414537839601
16300,0.016707238627893497
16400,0.017745877421987258
16500,0.025037265431037375
16600,0.026500033939760078
16701,0.011007272393716683
16702,0.011024590170841925
16703,0.013655092553545245
16801,0.008625798591542111
16802,0.0030230203147061374
16901,0.009157582839691925
16902,0.0037588248946125447
17000,0.0007197671159610008
17100,0.012791721827696723
17200,0.022665198989187077
17300,0.040318775774458304
17400,0.032893578019227765
17501,0.01677300449582266
17502,0.024333923061403973
17600,0.02036339384946722
17700,0.022109541588828385
17800,0.03780527285855284
17900,0.06351299494679469
18000,0.02541453142046325
18100,0.028756145365931074
18201,0.04687336354233873
18202,0.03842601285890379
18300,0.011024849279187454
