czone,gpt_exposure,cz_total_emp
21003,0.2989322577808604,2990
21004,0.3099137216161664,17569
21101,0.29523468526841884,18190
21102,0.3061734941665932,11795
21201,0.30964671326343784,14413
21202,0.2864267603295441,6267
21301,0.32065641508027976,52006
21302,0.30631658982730664,26352
21400,0.32214804644635736,106798
21501,0.36906491022858695,1701408
21502,0.2973330250810622,7210
21600,0.31079349439839254,43589
21701,0.3057652121357101,73878
21702,0.29510203964399906,14013
21801,0.3240061774828391,18941
21802,0.30406147263317346,11227
21900,0.31217124694149034,20483
22001,0.3230861529627,65043
22002,0.31226924067115486,4722
22100,0.3260770068763643,77022
22200,0.34427784893493285,111908
22300,0.3143681309504677,24725
22400,0.3009917139619488,63734
22500,0.32207876756250886,203107
22601,0.3344854877896093,159212
22602,0.3078778626969783,10420
22700,0.3160816158626829,111897
22800,0.32639688511572756,88423
22900,0.3285209405400027,79868
23000,0.29569419973556915,24061
23100,0.36590936247801703,341418
23200,0.3431723959388239,52300
23301,0.2998951147110498,15909
23302,0.29242006333150006,21517
23400,0.308889345085999,55038
23500,0.31944264262931893,103226
23600,0.3101562858325318,24590
23700,0.2963591478131534,17072
23801,0.33030212073111737,130402
23802,0.3021464000444521,16246
23900,0.32842008414347623,147449
24000,0.31253878411838615,200216
24100,0.34939472611666067,800758
24200,0.3139436102375814,36333
24300,0.3563601073807296,3902939
24400,0.31462373484450074,177845
24500,0.33525469187291557,27689
24600,0.3284504092112705,32733
24701,0.35481284617117836,1065301
24702,0.30829544770292266,5637
24801,0.307206448373516,9048
24802,0.371636044014247,114075
24900,0.30857827170886853,101715
25000,0.3200148727027221,34194
25101,0.3303429744869851,11350
25102,0.3385566699783246,16386
25103,0.3126468914981058,15924
25104,0.32569829973460174,5716
25105,0.34370612022344676,11341
25200,0.311264688082792,21744
25300,0.33281238917243,18387
25401,0.3171228630396318,38130
25402,0.36877596016744474,4468
25500,0.3098972577150107,24590
25601,0.31045946843388295,45010
25602,0.29759065115878414,3853
25701,0.3310285060293159,57406
25702,0.3291012121414398,16436
25800,0.30554848516580224,22661
25900,0.3246719405973666,54121
26001,0.29501045188015285,2706
26002,0.32524942673582136,104849
26003,0.32727690001592663,1189
26004,0.3162488907845305,1896
