"sic","year","emp","pay","prode","prodh","prodw","vship","matcost","vadd","invest","invent","energy","cap","equip","plant","piship","pimat","piinv","pien","dtfp5","tfp5","dtfp4","tfp4","pctnmfg"
3255,1972,11.2,100.5,8.5,16.6,66.3,336,131.3,202.1,10.8,83.2,19,695.4,362.5,332.9,0.331999987363815,0.279000014066696,0.418000012636185,0.137999996542931,0.0419999994337559,0.915000021457672,0.0439999997615814,0.899999976158142,0
3255,1973,11.1,102.8,8.9,17.8,75.6,381.5,147.3,236.9,11.9,87.8,20,673.6,348.3,325.3,0.352999985218048,0.29899999499321,0.430000007152557,0.151999995112419,0.0549999997019768,0.967000007629395,0.061999998986721,0.958000004291534,0
3255,1974,12.3,120.4,9.8,19.4,87.8,491.1,209.4,294.8,12,109.6,28.2,662.3,342.5,319.8,0.368999987840652,0.340999990701675,0.467999994754791,0.212999999523163,0.0869999974966049,1.05499994754791,0.0989999994635582,1.05799996852875,0
3255,1975,12.5,126.5,9.6,18.1,90.9,500.2,217.8,280.6,21.7,131,36.8,627.7,318.3,309.4,0.428999990224838,0.400000005960464,0.535000026226044,0.27700001001358,-0.0560000017285347,0.998000025749207,-0.0610000006854534,0.995999991893768,0
3255,1976,11.4,127.5,8.7,16.4,92.9,526.6,246.5,278.5,15.2,130.7,45,619.7,314.3,305.4,0.476999998092651,0.444000005722046,0.570999979972839,0.321999996900558,-0.0359999984502792,0.962999999523163,-0.0370000004768372,0.959999978542328,0
3255,1977,11.3,146.8,8.8,17.6,106.5,607.2,296.8,308.4,20,126.4,47.6,614,313.7,300.3,0.514999985694885,0.497999995946884,0.617999970912933,0.370999991893768,0.0209999997168779,0.984000027179718,0.0270000007003546,0.986000001430511,0
3255,1978,11.8,171.8,9.3,19.1,126.9,717.3,364.6,361.8,23.1,129.8,55,611.9,314.3,297.6,0.560000002384186,0.550999999046326,0.663999974727631,0.418999999761581,0.0149999996647239,0.998000025749207,0.017000000923872,1.00300002098084,0
3255,1979,12.1,191.5,9.7,17.5,144.8,776.9,384.7,395.6,29.4,131.7,62.2,607.1,313.6,293.5,0.612999975681305,0.63400000333786,0.72299998998642,0.522000014781952,0.0529999993741512,1.05299997329712,0.0529999993741512,1.05799996852875,0
3255,1980,10.3,183.6,7.7,14.4,132,761.6,363.1,398.7,31.5,152.6,58.9,600.4,312,288.4,0.694000005722046,0.75,0.795000016689301,0.656000018119812,-0.0020000000949949,1.04999995231628,-0.00100000004749745,1.05599999427795,0
3255,1981,9.9,199.6,7.7,15,145,864.2,410.6,455.7,36.1,152.5,71.6,589.9,305.8,284.1,0.78600001335144,0.866999983787537,0.869000017642975,0.712999999523163,0.0240000002086163,1.07500004768372,0.0209999997168779,1.0789999961853,0
3255,1982,7.6,155.2,5.6,10.4,109.3,670.3,339,316.5,21.2,191.3,60.6,571.1,293.8,277.3,0.896000027656555,0.926999986171722,0.907999992370605,1.25199997425079,-0.180000007152557,0.898000001907349,-0.181999996304512,0.898999989032745,0
3255,1983,6.9,147.1,5.1,10,103.9,745.5,358.5,398,12,197.6,63.6,556.4,287.6,268.8,0.903999984264374,0.934000015258789,0.920000016689301,1.307000041008,0.0949999988079071,0.986999988555908,0.0939999967813492,0.987999975681305,0
3255,1984,7.9,176.6,6.1,12,130,868.6,438.2,421,22,197.8,76.3,550.8,288.6,262.2,0.947000026702881,0.967000007629395,0.926999986171722,1.29200005531311,0.00100000004749745,0.987999975681305,0.00100000004749745,0.989000022411346,0
3255,1985,7.1,166.8,5.3,10.4,118.8,803,397.5,400.8,22.7,176.2,63,522.2,270.5,251.7,0.987999975681305,0.976999998092651,0.935999989509583,1.24500000476837,-0.028999999165535,0.959999978542328,-0.0299999993294477,0.959999978542328,0
3255,1986,6.9,160.4,5,9.7,108.7,843.5,412.6,425.9,15.8,178,56.6,500.8,258.3,242.5,0.996999979019165,0.978999972343445,0.971000015735626,1.05599999427795,0.0419999994337559,1.00100004673004,0.0419999994337559,1.00100004673004,0
3255,1987,6.4,150.2,4.7,9.3,99.4,788.2,387.5,405.1,11.7,162.1,42.1,476.1,244.2,231.9,1,1,1,1,-0.00100000004749745,1,-0.00100000004749745,1,0
3255,1988,6.4,160,4.8,9.3,108.3,836.7,401.7,437.6,14,169.9,44,455.2,233.7,221.5,1.05099999904633,1.05499994754791,1.03999996185303,0.967999994754791,0.0370000004768372,1.03799998760223,0.0370000004768372,1.03799998760223,0
3255,1989,6.9,176.7,5.2,10.6,122.4,906.3,451.3,470.2,11.9,179.3,43.5,438.7,226.7,212,1.08200001716614,1.12600004673004,1.06900000572205,1.02699995040894,0.0160000007599592,1.05400002002716,0.0160000007599592,1.05499994754791,0
3255,1990,6.5,168.8,4.8,9.6,118.2,922.9,475.3,451.4,15.2,173.1,42.2,420.3,217.3,203,1.11600005626678,1.17999994754791,1.10599994659424,1.08599996566772,0.00999999977648258,1.06500005722046,0.0109999999403954,1.06599998474121,0
3255,1991,6.2,166,4.5,9,111.9,850.4,464.8,391.2,18.5,172.6,40.6,406.4,212.1,194.3,1.14800000190735,1.16600000858307,1.1360000371933,1.08399999141693,-0.0869999974966049,0.976999998092651,-0.0869999974966049,0.977999985218048,0
3255,1992,6.2,183.8,4.4,8.8,113,886.8,452.8,435.7,24.6,179.3,41.1,395.3,209.1,186.2,1.16100001335144,1.17499995231628,1.15400004386902,1.07500004768372,0.0549999997019768,1.03199994564056,0.0549999997019768,1.03299999237061,0
3255,1993,5.2,162.2,3.8,7.8,107.1,742.4,367.6,374.7,7.2,152.1,32.5,389.9,211.5,178.4,1.17599999904633,1.18400001525879,1.17200005054474,1.09800004959106,-0.0419999994337559,0.989000022411346,-0.0419999994337559,0.990000009536743,0
3255,1994,5.9,178.9,4.4,9.2,120.9,958.5,508.6,463.7,18.5,171.9,35.5,370,200.5,169.5,1.18599998950958,1.2150000333786,1.19700002670288,1.04999995231628,0.0810000002384186,1.07200002670288,0.0820000022649765,1.07400000095367,0
3255,1995,6.4,192.2,4.8,9.7,130.5,958.2,510.3,447.1,16.6,171.9,37.4,360.9,198.8,162.1,1.21700000762939,1.25300002098084,1.22399997711182,1,-0.0149999996647239,1.057000041008,-0.0160000007599592,1.05799996852875,0
3255,1996,6.2,196.4,4.7,9.6,132.2,977.3,510.7,464.7,18.6,174.3,38.3,350.5,196.1,154.4,1.25999999046326,1.27300000190735,1.23300004005432,1.20000004768372,0.00600000005215406,1.06299996376038,0.00700000021606684,1.06400001049042,0
3255,1997,5.8,199.3,4.4,8.8,138.8,1115.9,552.9,564,23,165.5,31,343.3,195.3,148.1,1.28699994087219,1.28699994087219,1.22399997711182,1.21200001239777,0.0979999974370003,1.17200005054474,0.0979999974370003,1.17400002479553,0
3255,1998,5.6,201.8,4.2,8.8,139.9,1084.5,536.5,536,24.7,172.8,31.6,343.2,198,145.3,1.31099998950958,1.26999998092651,1.20799994468689,1.1710000038147,-0.0379999987781048,1.12800002098084,-0.0390000008046627,1.12999999523163,0
3255,1999,4.9,182.6,4,8.2,139.2,903.9,419.8,482.1,23.6,116.9,30.3,344.4,201.7,142.7,1.31700003147125,1.28600001335144,1.19799995422363,1.15400004386902,-0.0299999993294477,1.09399998188019,-0.0309999994933605,1.09500002861023,0
3255,2000,4.6,170.9,3.5,7.3,125.6,874.6,433.3,439.8,12.7,117.4,37.3,344.5,204.5,140,1.28299999237061,1.32799994945526,1.19200003147125,1.37300002574921,0.00100000004749745,1.09500002861023,0.00100000004749745,1.09599995613098,0
3255,2001,3.8,141.1,2.9,6.2,104,762.5,391,360.2,10.1,109.8,36,335.1,199.2,135.9,1.18499994277954,1.36899995803833,1.18099999427795,1.57200002670288,0.0509999990463257,1.15199995040894,0.0509999990463257,1.15299999713898,0
3255,2002,5,188.3,3.7,7.5,128,993.2,477.5,513.4,26.5,163.2,35.6,324.5,192.6,131.9,1.02300000190735,1.38100004196167,1.17700004577637,1.22300004959106,0.28099998831749,1.52600002288818,0.28099998831749,1.52799999713898,0
3255,2003,4.4,174.2,3.2,6.5,108.5,932.7,455.7,471.2,23.9,155.9,43,327.1,194.9,132.4,1.03600001335144,1.42200005054474,1.18400001525879,1.4099999666214,-0.0179999992251396,1.49899995326996,-0.0179999992251396,1.5,0
3255,2004,4.2,169.4,3,6.1,107.6,926,434.2,497.8,25.7,157.5,40.3,328.5,199.2,129.3,1.04100000858307,1.47000002861023,1.20799994468689,1.41499996185303,0.0329999998211861,1.54900002479553,0.0329999998211861,1.54999995231628,0
3255,2005,4.3,181,3.1,6.3,116,1036.5,463.6,580.3,32.6,182.8,49.2,330.6,204.2,126.3,1.06700003147125,1.56500005722046,1.24000000953674,1.63499999046326,0.0810000002384186,1.67900002002716,0.0810000002384186,1.67999994754791,0
3255,2006,4.1,175.6,3,6,112.4,1013.2,502.6,516.8,19.8,196.2,51.1,336,210.5,125.5,1.14400005340576,1.62300002574921,1.27199995517731,1.71000003814697,-0.108000002801418,1.50699996948242,-0.108000002801418,1.50800001621246,0
3255,2007,4.3,189.2,3.2,6.6,115.9,1089.7,532.4,565.7,29.8,178.7,38.8,331.7,208.9,122.8,1.20299994945526,1.6599999666214,1.30200004577637,1.77600002288818,0,1.50699996948242,-0.00100000004749745,1.50600004196167,0
3255,2008,4.3,196.6,3.1,6.5,122.1,1303.8,654.2,674.2,26.7,289.6,60,332.7,212.6,120.1,1.31299996376038,1.74100005626678,1.3400000333786,2.0550000667572,0.00800000037997961,1.51999998092651,0.00899999961256981,1.51999998092651,0
3255,2009,3.6,160.5,2.5,5,95.6,989,514.2,456.1,16.9,207.4,45.4,331,213.3,117.7,1.41600000858307,1.67999994754791,1.35699999332428,1.93599998950958,-0.215000003576279,1.22599995136261,-0.215000003576279,1.22599995136261,0
3255,2010,3.9,184.9,2.8,5.6,112.2,1167.6,609,571.2,25,229.3,48.2,323.2,208.1,115.1,1.4210000038147,1.74300003051758,1.36000001430511,1.94099998474121,0.090999998152256,1.34200000762939,0.0900000035762787,1.34099996089935,0
